请把以下所有内容整理成美观的表格形式：
测定类别	临床意义	
葡萄糖测定	"高血糖：某些生理因素(如情绪紧张，饭后1-2小时)及静注射肾上腺素后可引起血糖增高。病理性增高常见于各种根糖尿病、慢性胰腺炎、心肌梗塞、肢端巨大症，某些内分泌疾病，如甲状腺机能亢进、垂体前叶嗜酸性细胞腺瘤，垂体前叶嗜碱性细胞机能亢进症、肾上腺机能亢进症等。须内出血，颅外伤等也引起血糖增高。
低血糖：糖代谢异常、胰岛细胞瘤、胰腺瘤、严重肝病、新生儿低血糖症、妊娠、哺乳等都可造成低血糖。"	
血清果糖胺测定	血清果糖胺测定是反映近1-3周血糖水平的指标	
糖化血红蛋白测定	反映病人2~3个月内平均血糖的水平，用于缓尿病疗效观察糖化血红蛋白参考单位是指占总血红蛋白的百分率。糖化血红蛋白的浓度反应测定前1-2个月平均血糖水平。尤其是I型糖尿病，每月测定1-2次，以便更好地了解病情控制的程度。	
半乳糖测定	通过检测人类血液中是否有半乳甘露聚糖辅助诊断机体是否遭到入侵的曲菌感染。因曲菌血症常为一过性，故应对高危人群进行动态监测。	
血清果糖测定	服用果糖2h后，血液尿液果糖升高见于果糖尿症(果硫激酶缺陷所致)、遗传性果糖不耐症、果糖-1，5-二磷酸酯酶缺乏症	
木糖测定	用以评价小肠的吸收能力，推断肾脏功能。	
血清唾液酸测定	测定血清唾液酸浓度，可作为癌肿诊断辅助性指标和疗效观察指标。	
血浆乳酸测定	"组织严重缺氧可导致三羧酸循环中丙酮酸霉氧氧化的障碍，丙酮酸还原成乳酸的酵解作用增强，血中乳酸与丙酮酸比值增高及乳酸增加，甚至高达25mmol/L。这种极值的出现标志着坦胞氧化过程的恶化，并与显著的呼吸增强、虚弱、疲劳、恍惚及最后昏迷相联系。即使酸中毒及低氧血症已得到处理，此种高乳酸血症常为不可逆的。见于休克的不可逆期、无酮中毒的糖尿病昏迷和各种疾病的终末期。
在休克、心失代信、血液病和肺功能不全时，常见的低氧血症同时有高乳酸血症，在低氧血症及原发条件处理后常是可逆的。在肝脏灌流量降低的病例，乳酸由肝的移除显著降低，会出现乳酸酸中毒。"	
全血乳酸测定	"异常结果：检查结果为乳酸过量。 (1)休克状况的评估：血乳酸升高常见于循环性休克的患者，循环性休克(严重低血压)可由血容量的减少(失血或脱水)，心输出量减少或脓毒血症(豚毒性休克)性血流紊乱等引起， 冠状动脉分流术(2)主动脉内球震起博器植入术：主动脉内球膜起博器植入术(IABP)有时作为在心外科手术遇到困难时的一种治疗手段。即便如此，其死亡率也是相当高的。 如果有一个早期指标可提示IASP不成功，就可考虑采用其它的机械性的心血管治疗方案。最新研究表明血乳酸升高可作为IABP反应性差的早期指标
(3)急诊科(ED)胸痛患者的分类救治：血乳酸升高可作为因患胸痛来ED就诊病人的重要鉴别诊断指标，鉴别诊断有关的重症心脏病，如急性心肌梗塞(AMI)，多种充血性心衰或严重的心律失常。乳酸水平与死亡率升高明显相关，并提示需要采取紧急医疗救治。乳酸正常的就诊患者基本上可排除AM的发生。 需要检查的人员：然后两人，急诊人员："	
全血丙酮酸测定	血清丙酮酸测定可推测循环衰、亚产盗湿度。	
25羟维生素D测定	"1.调节血钙水平
2.影响细胞分化的功能"	
1.25双轻维生素D测定	临床通过测定1，25-(OH)2D3的水平来了解代谢性胃病时活性埃生薪D的水平。	
叶酸测定	贫血诊断、肿瘤辅助诊断、白血病分型和病情监测	
血清维生素测定	检测各种维生素在体内的水平。	
血清药物浓度测定	测定药物在患者血液当中的浓度，包括血浆中的总浓度是血浆蛋白结合，和血浆中游离的药物在全血中的浓度。	
血清各类氨基酸测定	可判断氨基酸异常情况及指导疾病治疗	
血清乙醇测定	对诊断和鉴别诊断急症，抢救乙醇中毒十分重要，为交通肇事处理提供科学依据，对当前社会人群饮酒影响健康的调研及食品乙醇含量测定有重要意义。	
排泄物的毒物测定	尿液：协助泌尿系统疾病的诊断	
中枢神经特异蛋白(S100β)测定	对脑损伤早期诊断病情、评估预后、寻找治疗方法及调整治疗方案有着重要的意义。	
尿羟膦氨酸测定	尿羟膦氨酸排出量增加的可见于儿童生长期骨破坏性病病(如甲状腺功能亢行 用于移化)GL公卯校场病、佝偻病、高转换型骨质疏松②畸化注简次将。	
甲型肝炎抗体测定(Anti-HAV)	抗-HAIgM阳性可诊断为甲型肝炎，若检得低滴度时，应隔2周复测，但应注意风湿因子所致假阳性。抗-HAIgG阳性提示曾受过HAV感染，但双份抗-HAIgG滴度4倍以上增长，也有诊断意义。	
